A,B,C,D,Result
28,56,32,64,0.25
28,56,32,72,0.222222222
28,56,32,84,0.19047619
28,56,32,86,0.186046512
28,56,32,96,0.166666667
28,56,32,100,0.16
28,56,40,24,0.833333333
28,56,40,28,0.714285714
28,56,40,32,0.625
28,56,40,40,0.5
28,56,40,44,0.454545455
28,56,40,48,0.416666667
28,56,40,56,0.357142857
28,56,40,64,0.3125
28,56,40,72,0.277777778
28,56,40,84,0.238095238
28,56,40,86,0.23255814
28,56,40,96,0.208333333
28,56,40,100,0.2
28,56,44,24,0.916666667
28,56,44,28,0.785714286
28,56,44,32,0.6875
28,56,44,40,0.55
28,56,44,44,0.5
28,56,44,48,0.458333333
28,56,44,56,0.392857143
28,56,44,64,0.34375
28,56,44,72,0.305555556
28,56,44,84,0.261904762
28,56,44,86,0.255813953
28,56,44,96,0.229166667
28,56,44,100,0.22
28,56,48,24,1
28,56,48,28,0.857142857
28,56,48,32,0.75
28,56,48,40,0.6
28,56,48,44,0.545454545
28,56,48,48,0.5
28,56,48,56,0.428571429
28,56,48,64,0.375
28,56,48,72,0.333333333
28,56,48,84,0.285714286
28,56,48,86,0.279069767
28,56,48,96,0.25
28,56,48,100,0.24
28,56,56,24,1.166666667
28,56,56,28,1
28,56,56,32,0.875
28,56,56,40,0.7
28,56,56,44,0.636363636
28,56,56,48,0.583333333
28,56,56,56,0.5
28,56,56,64,0.4375
28,56,56,72,0.388888889
28,56,56,84,0.333333333
28,56,56,86,0.325581395
28,56,56,96,0.291666667
28,56,56,100,0.28
28,56,64,24,1.333333333
28,56,64,28,1.142857143
28,56,64,32,1
28,56,64,40,0.8
28,56,64,44,0.727272727
28,56,64,48,0.666666667
28,56,64,56,0.571428571
28,56,64,64,0.5
28,56,64,72,0.444444444
28,56,64,84,0.380952381
28,56,64,86,0.372093023
28,56,64,96,0.333333333
28,56,64,100,0.32
28,56,72,24,1.5
28,56,72,28,1.285714286
28,56,72,32,1.125
28,56,72,40,0.9
28,56,72,44,0.818181818
28,56,72,48,0.75
28,56,72,56,0.642857143
28,56,72,64,0.5625
28,56,72,72,0.5
28,56,72,84,0.428571429
28,56,72,86,0.418604651
28,56,72,96,0.375
28,56,72,100,0.36
28,56,84,24,1.75
28,56,84,28,1.5
28,56,84,32,1.3125
28,56,84,40,1.05
28,56,84,44,0.954545455
28,56,84,48,0.875
28,56,84,56,0.75
28,56,84,64,0.65625
28,56,84,72,0.583333333
28,56,84,84,0.5
28,56,84,86,0.488372093
28,56,84,96,0.4375
28,56,84,100,0.42
28,56,86,24,1.791666667
28,56,86,28,1.535714286
28,56,86,32,1.34375
28,56,86,40,1.075
28,56,86,44,0.977272727
28,56,86,48,0.895833333
28,56,86,56,0.767857143
28,56,86,64,0.671875
28,56,86,72,0.597222222
28,56,86,84,0.511904762
28,56,86,86,0.5
28,56,86,96,0.447916667
28,56,86,100,0.43
28,56,96,24,2
28,56,96,28,1.714285714
28,56,96,32,1.5
28,56,96,40,1.2
28,56,96,44,1.090909091
28,56,96,48,1
28,56,96,56,0.857142857
28,56,96,64,0.75
28,56,96,72,0.666666667
28,56,96,84,0.571428571
28,56,96,86,0.558139535
28,56,96,96,0.5
28,56,96,100,0.48
28,56,100,24,2.083333333
28,56,100,28,1.785714286
28,56,100,32,1.5625
28,56,100,40,1.25
28,56,100,44,1.136363636
28,56,100,48,1.041666667
28,56,100,56,0.892857143
28,56,100,64,0.78125
28,56,100,72,0.694444444
28,56,100,84,0.595238095
28,56,100,86,0.581395349
28,56,100,96,0.520833333
28,56,100,100,0.5
28,64,24,24,0.4375
28,64,24,28,0.375
28,64,24,32,0.328125
28,64,24,40,0.2625
28,64,24,44,0.238636364
28,64,24,48,0.21875
28,64,24,56,0.1875
28,64,24,64,0.1640625
28,64,24,72,0.145833333
28,64,24,84,0.125
28,64,24,86,0.122093023
28,64,24,96,0.109375
28,64,24,100,0.105
28,64,28,24,0.510416667
28,64,28,28,0.4375
28,64,28,32,0.3828125
28,64,28,40,0.30625
28,64,28,44,0.278409091
28,64,28,48,0.255208333
28,64,28,56,0.21875
28,64,28,64,0.19140625
28,64,28,72,0.170138889
28,64,28,84,0.145833333
28,64,28,86,0.14244186
28,64,28,96,0.127604167
28,64,28,100,0.1225
28,64,32,24,0.583333333
28,64,32,28,0.5
28,64,32,32,0.4375
28,64,32,40,0.35
28,64,32,44,0.318181818
28,64,32,48,0.291666667
28,64,32,56,0.25
28,64,32,64,0.21875
28,64,32,72,0.194444444
28,64,32,84,0.166666667
28,64,32,86,0.162790698
28,64,32,96,0.145833333
28,64,32,100,0.14
28,64,40,24,0.729166667
28,64,40,28,0.625
28,64,40,32,0.546875
28,64,40,40,0.4375
28,64,40,44,0.397727273
28,64,40,48,0.364583333
28,64,40,56,0.3125
28,64,40,64,0.2734375
28,64,40,72,0.243055556
28,64,40,84,0.208333333
28,64,40,86,0.203488372
28,64,40,96,0.182291667
28,64,40,100,0.175
28,64,44,24,0.802083333
28,64,44,28,0.6875
28,64,44,32,0.6015625
28,64,44,40,0.48125
28,64,44,44,0.4375
28,64,44,48,0.401041667
28,64,44,56,0.34375
28,64,44,64,0.30078125
28,64,44,72,0.267361111
28,64,44,84,0.229166667
28,64,44,86,0.223837209
28,64,44,96,0.200520833
28,64,44,100,0.1925
28,64,48,24,0.875
28,64,48,28,0.75
28,64,48,32,0.65625
28,64,48,40,0.525
28,64,48,44,0.477272727
28,64,48,48,0.4375
28,64,48,56,0.375
28,64,48,64,0.328125
28,64,48,72,0.291666667
28,64,48,84,0.25
28,64,48,86,0.244186047
28,64,48,96,0.21875
28,64,48,100,0.21
28,64,56,24,1.020833333
28,64,56,28,0.875
28,64,56,32,0.765625
28,64,56,40,0.6125
28,64,56,44,0.556818182
28,64,56,48,0.510416667
28,64,56,56,0.4375
28,64,56,64,0.3828125
28,64,56,72,0.340277778
28,64,56,84,0.291666667
28,64,56,86,0.284883721
28,64,56,96,0.255208333
28,64,56,100,0.245
28,64,64,24,1.166666667
28,64,64,28,1
28,64,64,32,0.875
28,64,64,40,0.7
28,64,64,44,0.636363636
28,64,64,48,0.583333333
28,64,64,56,0.5
28,64,64,64,0.4375
28,64,64,72,0.388888889
28,64,64,84,0.333333333
28,64,64,86,0.325581395
28,64,64,96,0.291666667
28,64,64,100,0.28
28,64,72,24,1.3125
28,64,72,28,1.125
28,64,72,32,0.984375
28,64,72,40,0.7875
28,64,72,44,0.715909091
28,64,72,48,0.65625
28,64,72,56,0.5625
28,64,72,64,0.4921875
28,64,72,72,0.4375
28,64,72,84,0.375
28,64,72,86,0.36627907
28,64,72,96,0.328125
28,64,72,100,0.315
28,64,84,24,1.53125
28,64,84,28,1.3125
28,64,84,32,1.1484375
28,64,84,40,0.91875
28,64,84,44,0.835227273
28,64,84,48,0.765625
28,64,84,56,0.65625
28,64,84,64,0.57421875
28,64,84,72,0.510416667
28,64,84,84,0.4375
28,64,84,86,0.427325581
28,64,84,96,0.3828125
28,64,84,100,0.3675
28,64,86,24,1.567708333
28,64,86,28,1.34375
28,64,86,32,1.17578125
28,64,86,40,0.940625
28,64,86,44,0.855113636
28,64,86,48,0.783854167
28,64,86,56,0.671875
28,64,86,64,0.587890625
28,64,86,72,0.522569444
28,64,86,84,0.447916667
28,64,86,86,0.4375
28,64,86,96,0.391927083
28,64,86,100,0.37625
28,64,96,24,1.75
28,64,96,28,1.5
28,64,96,32,1.3125
28,64,96,40,1.05
28,64,96,44,0.954545455
28,64,96,48,0.875
28,64,96,56,0.75
28,64,96,64,0.65625
28,64,96,72,0.583333333
28,64,96,84,0.5
28,64,96,86,0.488372093
28,64,96,96,0.4375
28,64,96,100,0.42
28,64,100,24,1.822916667
28,64,100,28,1.5625
28,64,100,32,1.3671875
28,64,100,40,1.09375
28,64,100,44,0.994318182
28,64,100,48,0.911458333
28,64,100,56,0.78125
28,64,100,64,0.68359375
28,64,100,72,0.607638889
28,64,100,84,0.520833333
28,64,100,86,0.50872093
28,64,100,96,0.455729167
28,64,100,100,0.4375
28,72,24,24,0.388888889
28,72,24,28,0.333333333
28,72,24,32,0.291666667
28,72,24,40,0.233333333
28,72,24,44,0.212121212
28,72,24,48,0.194444444
28,72,24,56,0.166666667
28,72,24,64,0.145833333
28,72,24,72,0.12962963
28,72,24,84,0.111111111
28,72,24,86,0.108527132
28,72,24,96,0.097222222
28,72,24,100,0.093333333
28,72,28,24,0.453703704
28,72,28,28,0.388888889
28,72,28,32,0.340277778
28,72,28,40,0.272222222
28,72,28,44,0.247474747
28,72,28,48,0.226851852
28,72,28,56,0.194444444
28,72,28,64,0.170138889
28,72,28,72,0.151234568
28,72,28,84,0.12962963
28,72,28,86,0.126614987
28,72,28,96,0.113425926
28,72,28,100,0.108888889
28,72,32,24,0.518518519
28,72,32,28,0.444444444
28,72,32,32,0.388888889
28,72,32,40,0.311111111
28,72,32,44,0.282828283
28,72,32,48,0.259259259
28,72,32,56,0.222222222
28,72,32,64,0.194444444
28,72,32,72,0.172839506
28,72,32,84,0.148148148
28,72,32,86,0.144702842
28,72,32,96,0.12962963
28,72,32,100,0.124444444
28,72,40,24,0.648148148
28,72,40,28,0.555555556
28,72,40,32,0.486111111
28,72,40,40,0.388888889
28,72,40,44,0.353535354
28,72,40,48,0.324074074
28,72,40,56,0.277777778
28,72,40,64,0.243055556
28,72,40,72,0.216049383
28,72,40,84,0.185185185
28,72,40,86,0.180878553
28,72,40,96,0.162037037
28,72,40,100,0.155555556
28,72,44,24,0.712962963
28,72,44,28,0.611111111
28,72,44,32,0.534722222
28,72,44,40,0.427777778
28,72,44,44,0.388888889
28,72,44,48,0.356481481
28,72,44,56,0.305555556
28,72,44,64,0.267361111
28,72,44,72,0.237654321
28,72,44,84,0.203703704
28,72,44,86,0.198966408
28,72,44,96,0.178240741
28,72,44,100,0.171111111
28,72,48,24,0.777777778
28,72,48,28,0.666666667
28,72,48,32,0.583333333
28,72,48,40,0.466666667
28,72,48,44,0.424242424
28,72,48,48,0.388888889
28,72,48,56,0.333333333
28,72,48,64,0.291666667
28,72,48,72,0.259259259
28,72,48,84,0.222222222
28,72,48,86,0.217054264
28,72,48,96,0.194444444
28,72,48,100,0.186666667
28,72,56,24,0.907407407
28,72,56,28,0.777777778
28,72,56,32,0.680555556
28,72,56,40,0.544444444
28,72,56,44,0.494949495
28,72,56,48,0.453703704
28,72,56,56,0.388888889
28,72,56,64,0.340277778
28,72,56,72,0.302469136
28,72,56,84,0.259259259
28,72,56,86,0.253229974
28,72,56,96,0.226851852
28,72,56,100,0.217777778
28,72,64,24,1.037037037
28,72,64,28,0.888888889
28,72,64,32,0.777777778
28,72,64,40,0.622222222
28,72,64,44,0.565656566
28,72,64,48,0.518518519
28,72,64,56,0.444444444
28,72,64,64,0.388888889
28,72,64,72,0.345679012
28,72,64,84,0.296296296
28,72,64,86,0.289405685
28,72,64,96,0.259259259
28,72,64,100,0.248888889
28,72,72,24,1.166666667
28,72,72,28,1
28,72,72,32,0.875
28,72,72,40,0.7
28,72,72,44,0.636363636
28,72,72,48,0.583333333
28,72,72,56,0.5
28,72,72,64,0.4375
28,72,72,72,0.388888889
28,72,72,84,0.333333333
28,72,72,86,0.325581395
28,72,72,96,0.291666667
28,72,72,100,0.28
28,72,84,24,1.361111111
28,72,84,28,1.166666667
28,72,84,32,1.020833333
28,72,84,40,0.816666667
28,72,84,44,0.742424242
28,72,84,48,0.680555556
28,72,84,56,0.583333333
28,72,84,64,0.510416667
28,72,84,72,0.453703704
28,72,84,84,0.388888889
28,72,84,86,0.379844961
28,72,84,96,0.340277778
28,72,84,100,0.326666667
28,72,86,24,1.393518519
28,72,86,28,1.194444444
28,72,86,32,1.045138889
28,72,86,40,0.836111111
28,72,86,44,0.76010101
28,72,86,48,0.696759259
28,72,86,56,0.597222222
28,72,86,64,0.522569444
28,72,86,72,0.464506173
28,72,86,84,0.398148148
28,72,86,86,0.388888889
28,72,86,96,0.34837963
28,72,86,100,0.334444444
28,72,96,24,1.555555556
28,72,96,28,1.333333333
28,72,96,32,1.166666667
28,72,96,40,0.933333333
28,72,96,44,0.848484848
28,72,96,48,0.777777778
28,72,96,56,0.666666667
28,72,96,64,0.583333333
28,72,96,72,0.518518519
28,72,96,84,0.444444444
28,72,96,86,0.434108527
28,72,96,96,0.388888889
28,72,96,100,0.373333333
28,72,100,24,1.62037037
28,72,100,28,1.388888889
28,72,100,32,1.215277778
28,72,100,40,0.972222222
28,72,100,44,0.883838384
28,72,100,48,0.810185185
28,72,100,56,0.694444444
28,72,100,64,0.607638889
28,72,100,72,0.540123457
28,72,100,84,0.462962963
28,72,100,86,0.452196382
28,72,100,96,0.405092593
28,72,100,100,0.388888889
28,84,24,24,0.333333333
28,84,24,28,0.285714286
28,84,24,32,0.25
28,84,24,40,0.2
28,84,24,44,0.181818182
28,84,24,48,0.166666667
28,84,24,56,0.142857143
28,84,24,64,0.125
28,84,24,72,0.111111111
28,84,24,84,0.095238095
28,84,24,86,0.093023256
28,84,24,96,0.083333333
28,84,24,100,0.08
28,84,28,24,0.388888889
28,84,28,28,0.333333333
28,84,28,32,0.291666667
28,84,28,40,0.233333333
28,84,28,44,0.212121212
28,84,28,48,0.194444444
28,84,28,56,0.166666667
28,84,28,64,0.145833333
28,84,28,72,0.12962963
28,84,28,84,0.111111111
28,84,28,86,0.108527132
28,84,28,96,0.097222222
28,84,28,100,0.093333333
28,84,32,24,0.444444444
28,84,32,28,0.380952381
28,84,32,32,0.333333333
28,84,32,40,0.266666667
28,84,32,44,0.242424242
28,84,32,48,0.222222222
28,84,32,56,0.19047619
28,84,32,64,0.166666667
28,84,32,72,0.148148148
28,84,32,84,0.126984127
28,84,32,86,0.124031008
28,84,32,96,0.111111111
28,84,32,100,0.106666667
28,84,40,24,0.555555556
28,84,40,28,0.476190476
28,84,40,32,0.416666667
28,84,40,40,0.333333333
28,84,40,44,0.303030303
28,84,40,48,0.277777778
28,84,40,56,0.238095238
28,84,40,64,0.208333333
28,84,40,72,0.185185185
28,84,40,84,0.158730159
28,84,40,86,0.15503876
28,84,40,96,0.138888889
28,84,40,100,0.133333333
28,84,44,24,0.611111111
28,84,44,28,0.523809524
28,84,44,32,0.458333333
28,84,44,40,0.366666667
28,84,44,44,0.333333333
28,84,44,48,0.305555556
28,84,44,56,0.261904762
28,84,44,64,0.229166667
28,84,44,72,0.203703704
28,84,44,84,0.174603175
28,84,44,86,0.170542636
28,84,44,96,0.152777778
28,84,44,100,0.146666667
28,84,48,24,0.666666667
28,84,48,28,0.571428571
28,84,48,32,0.5
28,84,48,40,0.4
28,84,48,44,0.363636364
28,84,48,48,0.333333333
28,84,48,56,0.285714286
28,84,48,64,0.25
28,84,48,72,0.222222222
28,84,48,84,0.19047619
28,84,48,86,0.186046512
28,84,48,96,0.166666667
28,84,48,100,0.16
28,84,56,24,0.777777778
28,84,56,28,0.666666667
28,84,56,32,0.583333333
28,84,56,40,0.466666667
28,84,56,44,0.424242424
28,84,56,48,0.388888889
28,84,56,56,0.333333333
28,84,56,64,0.291666667
28,84,56,72,0.259259259
28,84,56,84,0.222222222
28,84,56,86,0.217054264
28,84,56,96,0.194444444
28,84,56,100,0.186666667
28,84,64,24,0.888888889
28,84,64,28,0.761904762
28,84,64,32,0.666666667
28,84,64,40,0.533333333
28,84,64,44,0.484848485
28,84,64,48,0.444444444
28,84,64,56,0.380952381
28,84,64,64,0.333333333
28,84,64,72,0.296296296
28,84,64,84,0.253968254
28,84,64,86,0.248062016
28,84,64,96,0.222222222
28,84,64,100,0.213333333
28,84,72,24,1
28,84,72,28,0.857142857
28,84,72,32,0.75
28,84,72,40,0.6
28,84,72,44,0.545454545
28,84,72,48,0.5
28,84,72,56,0.428571429
28,84,72,64,0.375
28,84,72,72,0.333333333
28,84,72,84,0.285714286
28,84,72,86,0.279069767
28,84,72,96,0.25
28,84,72,100,0.24
28,84,84,24,1.166666667
28,84,84,28,1
28,84,84,32,0.875
28,84,84,40,0.7
28,84,84,44,0.636363636
28,84,84,48,0.583333333
28,84,84,56,0.5
28,84,84,64,0.4375
28,84,84,72,0.388888889
28,84,84,84,0.333333333
28,84,84,86,0.325581395
28,84,84,96,0.291666667
28,84,84,100,0.28
28,84,86,24,1.194444444
28,84,86,28,1.023809524
28,84,86,32,0.895833333
28,84,86,40,0.716666667
28,84,86,44,0.651515152
28,84,86,48,0.597222222
28,84,86,56,0.511904762
28,84,86,64,0.447916667
28,84,86,72,0.398148148
28,84,86,84,0.341269841
28,84,86,86,0.333333333
28,84,86,96,0.298611111
28,84,86,100,0.286666667
28,84,96,24,1.333333333
28,84,96,28,1.142857143
28,84,96,32,1
28,84,96,40,0.8
28,84,96,44,0.727272727
28,84,96,48,0.666666667
28,84,96,56,0.571428571
28,84,96,64,0.5
28,84,96,72,0.444444444
28,84,96,84,0.380952381
28,84,96,86,0.372093023
28,84,96,96,0.333333333
28,84,96,100,0.32
28,84,100,24,1.388888889
28,84,100,28,1.19047619
28,84,100,32,1.041666667
28,84,100,40,0.833333333
28,84,100,44,0.757575758
28,84,100,48,0.694444444
28,84,100,56,0.595238095
28,84,100,64,0.520833333
28,84,100,72,0.462962963
28,84,100,84,0.396825397
28,84,100,86,0.387596899
28,84,100,96,0.347222222
28,84,100,100,0.333333333
28,86,24,24,0.325581395
28,86,24,28,0.279069767
28,86,24,32,0.244186047
28,86,24,40,0.195348837
28,86,24,44,0.177589852
28,86,24,48,0.162790698
28,86,24,56,0.139534884
28,86,24,64,0.122093023
28,86,24,72,0.108527132
28,86,24,84,0.093023256
28,86,24,86,0.090859924
28,86,24,96,0.081395349
28,86,24,100,0.078139535
28,86,28,24,0.379844961
28,86,28,28,0.325581395
28,86,28,32,0.284883721
28,86,28,40,0.227906977
28,86,28,44,0.207188161
28,86,28,48,0.189922481
28,86,28,56,0.162790698
28,86,28,64,0.14244186
28,86,28,72,0.126614987
28,86,28,84,0.108527132
28,86,28,86,0.106003245
28,86,28,96,0.09496124
28,86,28,100,0.091162791
28,86,32,24,0.434108527
28,86,32,28,0.372093023
28,86,32,32,0.325581395
28,86,32,40,0.260465116
28,86,32,44,0.236786469
28,86,32,48,0.217054264
28,86,32,56,0.186046512
28,86,32,64,0.162790698
28,86,32,72,0.144702842
28,86,32,84,0.124031008
28,86,32,86,0.121146566
28,86,32,96,0.108527132
28,86,32,100,0.104186047
28,86,40,24,0.542635659
28,86,40,28,0.465116279
28,86,40,32,0.406976744
28,86,40,40,0.325581395
28,86,40,44,0.295983087
28,86,40,48,0.271317829
28,86,40,56,0.23255814
28,86,40,64,0.203488372
28,86,40,72,0.180878553
28,86,40,84,0.15503876
28,86,40,86,0.151433207
28,86,40,96,0.135658915
28,86,40,100,0.130232558
28,86,44,24,0.596899225
28,86,44,28,0.511627907
28,86,44,32,0.447674419
28,86,44,40,0.358139535
28,86,44,44,0.325581395
28,86,44,48,0.298449612
28,86,44,56,0.255813953
28,86,44,64,0.223837209
28,86,44,72,0.198966408
28,86,44,84,0.170542636
28,86,44,86,0.166576528
28,86,44,96,0.149224806
28,86,44,100,0.143255814
28,86,48,24,0.651162791
28,86,48,28,0.558139535
28,86,48,32,0.488372093
28,86,48,40,0.390697674
28,86,48,44,0.355179704
28,86,48,48,0.325581395
28,86,48,56,0.279069767
28,86,48,64,0.244186047
28,86,48,72,0.217054264
28,86,48,84,0.186046512
28,86,48,86,0.181719849
28,86,48,96,0.162790698
28,86,48,100,0.15627907
28,86,56,24,0.759689922
28,86,56,28,0.651162791
28,86,56,32,0.569767442
28,86,56,40,0.455813953
28,86,56,44,0.414376321
28,86,56,48,0.379844961
28,86,56,56,0.325581395
28,86,56,64,0.284883721
28,86,56,72,0.253229974
28,86,56,84,0.217054264
28,86,56,86,0.21200649
28,86,56,96,0.189922481
28,86,56,100,0.182325581
28,86,64,24,0.868217054
28,86,64,28,0.744186047
28,86,64,32,0.651162791
28,86,64,40,0.520930233
28,86,64,44,0.473572939
28,86,64,48,0.434108527
28,86,64,56,0.372093023
28,86,64,64,0.325581395
28,86,64,72,0.289405685
28,86,64,84,0.248062016
28,86,64,86,0.242293131
28,86,64,96,0.217054264
28,86,64,100,0.208372093
28,86,72,24,0.976744186
28,86,72,28,0.837209302
28,86,72,32,0.73255814
28,86,72,40,0.586046512
28,86,72,44,0.532769556
28,86,72,48,0.488372093
28,86,72,56,0.418604651
28,86,72,64,0.36627907
28,86,72,72,0.325581395
28,86,72,84,0.279069767
28,86,72,86,0.272579773
28,86,72,96,0.244186047
28,86,72,100,0.234418605
28,86,84,24,1.139534884
28,86,84,28,0.976744186
28,86,84,32,0.854651163
28,86,84,40,0.68372093
28,86,84,44,0.621564482
28,86,84,48,0.569767442
28,86,84,56,0.488372093
28,86,84,64,0.427325581
28,86,84,72,0.379844961
28,86,84,84,0.325581395
28,86,84,86,0.318009735
28,86,84,96,0.284883721
28,86,84,100,0.273488372
28,86,86,24,1.166666667
28,86,86,28,1
28,86,86,32,0.875
28,86,86,40,0.7
28,86,86,44,0.636363636
28,86,86,48,0.583333333
28,86,86,56,0.5
28,86,86,64,0.4375
28,86,86,72,0.388888889
28,86,86,84,0.333333333
28,86,86,86,0.325581395
28,86,86,96,0.291666667
28,86,86,100,0.28
28,86,96,24,1.302325581
28,86,96,28,1.11627907
28,86,96,32,0.976744186
28,86,96,40,0.781395349
28,86,96,44,0.710359408
28,86,96,48,0.651162791
28,86,96,56,0.558139535
28,86,96,64,0.488372093
28,86,96,72,0.434108527
28,86,96,84,0.372093023
28,86,96,86,0.363439697
28,86,96,96,0.325581395
28,86,96,100,0.31255814
28,86,100,24,1.356589147
28,86,100,28,1.162790698
28,86,100,32,1.01744186
28,86,100,40,0.813953488
28,86,100,44,0.739957717
28,86,100,48,0.678294574
28,86,100,56,0.581395349
28,86,100,64,0.50872093
28,86,100,72,0.452196382
28,86,100,84,0.387596899
28,86,100,86,0.378583018
28,86,100,96,0.339147287
28,86,100,100,0.325581395
28,96,24,24,0.291666667
28,96,24,28,0.25
28,96,24,32,0.21875
28,96,24,40,0.175
28,96,24,44,0.159090909
28,96,24,48,0.145833333
28,96,24,56,0.125
28,96,24,64,0.109375
28,96,24,72,0.097222222
28,96,24,84,0.083333333
28,96,24,86,0.081395349
28,96,24,96,0.072916667
28,96,24,100,0.07
28,96,28,24,0.340277778
28,96,28,28,0.291666667
28,96,28,32,0.255208333
28,96,28,40,0.204166667
28,96,28,44,0.185606061
28,96,28,48,0.170138889
28,96,28,56,0.145833333
28,96,28,64,0.127604167
28,96,28,72,0.113425926
28,96,28,84,0.097222222
28,96,28,86,0.09496124
28,96,28,96,0.085069444
28,96,28,100,0.081666667
28,96,32,24,0.388888889
28,96,32,28,0.333333333
28,96,32,32,0.291666667
28,96,32,40,0.233333333
28,96,32,44,0.212121212
28,96,32,48,0.194444444
28,96,32,56,0.166666667
28,96,32,64,0.145833333
28,96,32,72,0.12962963
28,96,32,84,0.111111111
28,96,32,86,0.108527132
28,96,32,96,0.097222222
28,96,32,100,0.093333333
28,96,40,24,0.486111111
28,96,40,28,0.416666667
28,96,40,32,0.364583333
28,96,40,40,0.291666667
28,96,40,44,0.265151515
28,96,40,48,0.243055556
28,96,40,56,0.208333333
28,96,40,64,0.182291667
28,96,40,72,0.162037037
28,96,40,84,0.138888889
28,96,40,86,0.135658915
28,96,40,96,0.121527778
28,96,40,100,0.116666667
28,96,44,24,0.534722222
28,96,44,28,0.458333333
28,96,44,32,0.401041667
28,96,44,40,0.320833333
28,96,44,44,0.291666667
28,96,44,48,0.267361111
28,96,44,56,0.229166667
28,96,44,64,0.200520833
28,96,44,72,0.178240741
28,96,44,84,0.152777778
28,96,44,86,0.149224806
28,96,44,96,0.133680556
28,96,44,100,0.128333333
28,96,48,24,0.583333333
28,96,48,28,0.5
28,96,48,32,0.4375
28,96,48,40,0.35
28,96,48,44,0.318181818
28,96,48,48,0.291666667
28,96,48,56,0.25
28,96,48,64,0.21875
28,96,48,72,0.194444444
28,96,48,84,0.166666667
28,96,48,86,0.162790698
28,96,48,96,0.145833333
28,96,48,100,0.14
28,96,56,24,0.680555556
28,96,56,28,0.583333333
28,96,56,32,0.510416667
28,96,56,40,0.408333333
28,96,56,44,0.371212121
28,96,56,48,0.340277778
28,96,56,56,0.291666667
28,96,56,64,0.255208333
28,96,56,72,0.226851852
28,96,56,84,0.194444444
28,96,56,86,0.189922481
28,96,56,96,0.170138889
28,96,56,100,0.163333333
28,96,64,24,0.777777778
28,96,64,28,0.666666667
28,96,64,32,0.583333333
28,96,64,40,0.466666667
28,96,64,44,0.424242424
28,96,64,48,0.388888889
28,96,64,56,0.333333333
28,96,64,64,0.291666667
28,96,64,72,0.259259259
28,96,64,84,0.222222222
28,96,64,86,0.217054264
28,96,64,96,0.194444444
28,96,64,100,0.186666667
28,96,72,24,0.875
28,96,72,28,0.75
28,96,72,32,0.65625
28,96,72,40,0.525
28,96,72,44,0.477272727
28,96,72,48,0.4375
28,96,72,56,0.375
28,96,72,64,0.328125
28,96,72,72,0.291666667
28,96,72,84,0.25
28,96,72,86,0.244186047
28,96,72,96,0.21875
28,96,72,100,0.21
28,96,84,24,1.020833333
28,96,84,28,0.875
28,96,84,32,0.765625
28,96,84,40,0.6125
28,96,84,44,0.556818182
28,96,84,48,0.510416667
28,96,84,56,0.4375
28,96,84,64,0.3828125
28,96,84,72,0.340277778
28,96,84,84,0.291666667
28,96,84,86,0.284883721
28,96,84,96,0.255208333
28,96,84,100,0.245
28,96,86,24,1.045138889
28,96,86,28,0.895833333
28,96,86,32,0.783854167
28,96,86,40,0.627083333
28,96,86,44,0.570075758
28,96,86,48,0.522569444
28,96,86,56,0.447916667
28,96,86,64,0.391927083
28,96,86,72,0.34837963
28,96,86,84,0.298611111
28,96,86,86,0.291666667
28,96,86,96,0.261284722
28,96,86,100,0.250833333
28,96,96,24,1.166666667
28,96,96,28,1
28,96,96,32,0.875
28,96,96,40,0.7
28,96,96,44,0.636363636
28,96,96,48,0.583333333
28,96,96,56,0.5
28,96,96,64,0.4375
28,96,96,72,0.388888889
28,96,96,84,0.333333333
28,96,96,86,0.325581395
28,96,96,96,0.291666667
28,96,96,100,0.28
28,96,100,24,1.215277778
28,96,100,28,1.041666667
28,96,100,32,0.911458333
28,96,100,40,0.729166667
28,96,100,44,0.662878788
28,96,100,48,0.607638889
28,96,100,56,0.520833333
28,96,100,64,0.455729167
28,96,100,72,0.405092593
28,96,100,84,0.347222222
28,96,100,86,0.339147287
28,96,100,96,0.303819444
28,96,100,100,0.291666667
28,100,24,24,0.28
28,100,24,28,0.24
28,100,24,32,0.21
28,100,24,40,0.168
28,100,24,44,0.152727273
28,100,24,48,0.14
28,100,24,56,0.12
28,100,24,64,0.105
28,100,24,72,0.093333333
28,100,24,84,0.08
28,100,24,86,0.078139535
28,100,24,96,0.07
28,100,24,100,0.0672
28,100,28,24,0.326666667
28,100,28,28,0.28
28,100,28,32,0.245
28,100,28,40,0.196
28,100,28,44,0.178181818
28,100,28,48,0.163333333
28,100,28,56,0.14
28,100,28,64,0.1225
28,100,28,72,0.108888889
28,100,28,84,0.093333333
28,100,28,86,0.091162791
28,100,28,96,0.081666667
28,100,28,100,0.0784
28,100,32,24,0.373333333
28,100,32,28,0.32
28,100,32,32,0.28
28,100,32,40,0.224
28,100,32,44,0.203636364
28,100,32,48,0.186666667
28,100,32,56,0.16
28,100,32,64,0.14
28,100,32,72,0.124444444
28,100,32,84,0.106666667
28,100,32,86,0.104186047
28,100,32,96,0.093333333
28,100,32,100,0.0896
28,100,40,24,0.466666667
28,100,40,28,0.4
28,100,40,32,0.35
28,100,40,40,0.28
28,100,40,44,0.254545455
28,100,40,48,0.233333333
28,100,40,56,0.2
28,100,40,64,0.175
28,100,40,72,0.155555556
